MapName,WinCntOfRed,WinCntOfBlue,DrawCnt,FirstMove
./autobattle/genmap221.tbsmap,1,0,0,2:1:2:1:1:1
./autobattle/genmap222.tbsmap,1,0,0,4:5:2:3:1:3
./autobattle/genmap223.tbsmap,0,0,1,1:4:3:5:3:6
./autobattle/genmap224.tbsmap,1,0,0,6:5:6:6:5:6
./autobattle/genmap225.tbsmap,1,0,0,2:4:1:1:2:1
./autobattle/genmap226.tbsmap,1,0,0,2:4:3:2:2:2
./autobattle/genmap227.tbsmap,1,0,0,1:1:1:5:1:6
./autobattle/genmap228.tbsmap,0,0,1,2:3:5:1:6:1
./autobattle/genmap229.tbsmap,0,1,0,4:1:5:3:5:4
./autobattle/genmap23.tbsmap,1,0,0,6:1:1:2:1:2
./autobattle/genmap230.tbsmap,1,0,0,2:6:6:6:5:6
./autobattle/genmap231.tbsmap,0,1,0,6:6:6:5:5:5
./autobattle/genmap232.tbsmap,1,0,0,3:6:3:2:4:2
./autobattle/genmap233.tbsmap,1,0,0,3:2:4:4:3:4
./autobattle/genmap234.tbsmap,0,1,0,1:5:1:4:1:3
./autobattle/genmap235.tbsmap,1,0,0,6:5:4:4:3:4
./autobattle/genmap236.tbsmap,0,0,1,2:1:5:2:6:2
./autobattle/genmap237.tbsmap,1,0,0,4:4:2:4:1:4
./autobattle/genmap238.tbsmap,1,0,0,4:2:5:3:5:4
./autobattle/genmap239.tbsmap,0,1,0,4:2:6:2:5:2
./autobattle/genmap24.tbsmap,0,0,1,3:2:3:2:4:2
./autobattle/genmap240.tbsmap,0,1,0,1:2:1:2:1:3
./autobattle/genmap241.tbsmap,1,0,0,1:6:6:4:6:5
./autobattle/genmap242.tbsmap,1,0,0,6:2:6:2:6:3
./autobattle/genmap243.tbsmap,0,1,0,2:3:4:3:3:3
./autobattle/genmap244.tbsmap,0,1,0,3:2:3:3:3:4
./autobattle/genmap245.tbsmap,1,0,0,4:6:4:3:4:4
./autobattle/genmap246.tbsmap,1,0,0,4:3:2:2:2:3
./autobattle/genmap247.tbsmap,1,0,0,6:6:2:3:1:3
./autobattle/genmap248.tbsmap,1,0,0,6:3:6:2:5:2
./autobattle/genmap249.tbsmap,0,1,0,5:2:6:3:5:3
./autobattle/genmap25.tbsmap,1,0,0,2:5:2:5:1:5
./autobattle/genmap250.tbsmap,0,1,0,2:2:4:2:4:1
./autobattle/genmap251.tbsmap,0,1,0,6:5:6:6:5:6
./autobattle/genmap252.tbsmap,1,0,0,1:6:4:3:3:3
./autobattle/genmap253.tbsmap,1,0,0,4:5:3:1:2:1
./autobattle/genmap254.tbsmap,1,0,0,3:3:3:6:3:5
./autobattle/genmap255.tbsmap,1,0,0,3:2:2:3:1:3
./autobattle/genmap256.tbsmap,1,0,0,3:5:4:5:5:5
./autobattle/genmap257.tbsmap,0,1,0,3:3:5:2:4:2
./autobattle/genmap258.tbsmap,0,1,0,6:6:1:4:1:5
./autobattle/genmap259.tbsmap,0,1,0,3:5:4:6:3:6
./autobattle/genmap26.tbsmap,1,0,0,4:3:5:5:4:5
./autobattle/genmap260.tbsmap,0,1,0,6:4:6:6:5:6
./autobattle/genmap261.tbsmap,1,0,0,5:1:3:3:2:3
./autobattle/genmap262.tbsmap,0,0,1,6:1:2:3:2:2
./autobattle/genmap263.tbsmap,0,1,0,3:3:5:5:4:5
./autobattle/genmap264.tbsmap,0,1,0,3:3:5:4:5:5
./autobattle/genmap265.tbsmap,1,0,0,1:3:1:3:2:3
./autobattle/genmap266.tbsmap,1,0,0,6:3:4:4:4:5
./autobattle/genmap267.tbsmap,1,0,0,3:5:1:4:1:3
./autobattle/genmap268.tbsmap,0,1,0,4:5:2:1:3:1
./autobattle/genmap269.tbsmap,1,0,0,3:4:2:4:1:4
./autobattle/genmap27.tbsmap,1,0,0,3:6:3:6:4:6
./autobattle/genmap270.tbsmap,0,1,0,3:1:4:3:3:3
./autobattle/genmap271.tbsmap,1,0,0,2:3:2:3:1:3
./autobattle/genmap272.tbsmap,1,0,0,6:1:6:2:6:3
./autobattle/genmap273.tbsmap,1,0,0,3:3:4:2:3:2
./autobattle/genmap274.tbsmap,1,0,0,2:1:2:5:1:5
./autobattle/genmap275.tbsmap,1,0,0,2:1:2:2:3:2
./autobattle/genmap276.tbsmap,1,0,0,3:2:2:3:1:3
./autobattle/genmap277.tbsmap,0,1,0,5:6:3:3:2:3
./autobattle/genmap278.tbsmap,0,1,0,1:3:2:3:3:3
./autobattle/genmap279.tbsmap,0,1,0,3:3:6:5:6:6
./autobattle/genmap28.tbsmap,1,0,0,4:6:6:1:6:2
./autobattle/genmap280.tbsmap,1,0,0,1:5:6:5:5:5
./autobattle/genmap281.tbsmap,0,1,0,2:6:4:4:5:4
./autobattle/genmap282.tbsmap,0,1,0,6:5:6:5:6:4
./autobattle/genmap283.tbsmap,1,0,0,2:6:6:2:6:3
./autobattle/genmap284.tbsmap,1,0,0,2:1:5:4:5:5
./autobattle/genmap285.tbsmap,0,0,1,6:2:5:2:4:2
./autobattle/genmap286.tbsmap,0,0,1,6:6:6:4:5:4
./autobattle/genmap287.tbsmap,1,0,0,6:4:2:5:1:5
./autobattle/genmap288.tbsmap,1,0,0,1:4:3:3:3:4
./autobattle/genmap289.tbsmap,0,1,0,3:2:5:5:6:5
./autobattle/genmap29.tbsmap,0,1,0,2:5:4:4:3:4
./autobattle/genmap290.tbsmap,1,0,0,1:4:2:6:1:6
./autobattle/genmap291.tbsmap,0,1,0,4:1:4:1:5:1
./autobattle/genmap292.tbsmap,0,0,1,6:4:3:3:3:2
./autobattle/genmap293.tbsmap,1,0,0,5:2:3:3:2:3
./autobattle/genmap294.tbsmap,1,0,0,1:1:6:4:6:5
./autobattle/genmap295.tbsmap,0,1,0,1:2:1:2:2:2
./autobattle/genmap296.tbsmap,0,1,0,3:1:4:4:3:4
./autobattle/genmap297.tbsmap,0,0,1,4:1:4:2:3:2
./autobattle/genmap298.tbsmap,1,0,0,4:2:3:3:3:4
./autobattle/genmap299.tbsmap,0,0,1,5:1:5:1:4:1
./autobattle/genmap3.tbsmap,1,0,0,6:3:5:4:5:5
./autobattle/genmap30.tbsmap,1,0,0,6:6:3:5:3:4
./autobattle/genmap300.tbsmap,1,0,0,3:2:3:2:3:1
./autobattle/genmap301.tbsmap,0,1,0,3:6:2:6:1:6
./autobattle/genmap302.tbsmap,1,0,0,1:4:3:5:2:5
./autobattle/genmap303.tbsmap,0,1,0,3:6:2:6:1:6
./autobattle/genmap304.tbsmap,1,0,0,1:3:1:3:1:4
./autobattle/genmap305.tbsmap,1,0,0,2:6:6:3:5:3
./autobattle/genmap306.tbsmap,1,0,0,3:6:4:5:4:4
./autobattle/genmap307.tbsmap,1,0,0,4:2:6:3:5:3
./autobattle/genmap308.tbsmap,0,0,1,6:3:6:4:5:4
./autobattle/genmap309.tbsmap,1,0,0,5:6:6:1:5:1
./autobattle/genmap31.tbsmap,0,0,1,2:4:5:3:6:3
./autobattle/genmap310.tbsmap,1,0,0,4:4:1:3:1:4
./autobattle/genmap311.tbsmap,1,0,0,3:3:5:5:6:5
./autobattle/genmap312.tbsmap,1,0,0,6:1:5:1:5:2
./autobattle/genmap313.tbsmap,1,0,0,2:3:5:6:4:6
./autobattle/genmap314.tbsmap,1,0,0,4:3:4:3:4:2
./autobattle/genmap315.tbsmap,0,1,0,6:1:6:1:5:1
./autobattle/genmap316.tbsmap,1,0,0,5:5:6:3:6:4
./autobattle/genmap317.tbsmap,1,0,0,2:2:5:6:4:6
./autobattle/genmap318.tbsmap,0,1,0,4:5:3:2:4:2
./autobattle/genmap319.tbsmap,1,0,0,4:5:4:4:3:4
./autobattle/genmap32.tbsmap,0,0,1,2:6:4:2:3:2
./autobattle/genmap320.tbsmap,1,0,0,4:3:6:4:6:5
./autobattle/genmap321.tbsmap,0,0,1,1:6:5:6:4:6
./autobattle/genmap322.tbsmap,1,0,0,1:1:2:2:1:2
./autobattle/genmap323.tbsmap,1,0,0,3:4:4:2:4:3
./autobattle/genmap324.tbsmap,0,0,1,6:1:3:3:2:3
./autobattle/genmap325.tbsmap,1,0,0,2:1:4:1:3:1
./autobattle/genmap326.tbsmap,0,0,1,5:1:6:2:6:3
